"Year","Area","Street","Street 2"
2011,"Birmingham","Ladywellwalk",NA
2011,"Birmingham","Leahallrd",NA
2011,"Birmingham","Leahallrd",NA
2011,"Birmingham","Leavillagestechford",NA
2011,"Birmingham","Lenchesclosemosley",NA
2011,"Birmingham","Limetreeroad",NA
2011,"Birmingham","Lodelanehermitageroad",NA
2011,"Birmingham","Longstr.",NA
2011,"Birmingham","Longstr.sparkhill",NA
2011,"Birmingham","Longbridgelane",NA
2011,"Birmingham","Longmeadowcrescentshardendbham",NA
2011,"Birmingham","Maccadownlane",NA
2011,"Birmingham","Masshouselane",NA
2011,"Birmingham","Meadwaymstechford",NA
2011,"Birmingham","Mickleoverroadbromford",NA
2011,"Birmingham","Moorcroftroad",NA
2011,"Birmingham","Moseleyroad",NA
2011,"Birmingham","Moseleyroad",NA
2011,"Birmingham","Moseleyroad",NA
2011,"Birmingham","Moseleyroad",NA
2011,"Birmingham","Moseleyvillage",NA
2011,"Birmingham","Moseleyvillage",NA
2011,"Birmingham","Moseleyvillagealcesterroad",NA
2011,"Birmingham","Mosleyallservicesclubchurchroadmoseley",NA
2011,"Birmingham","Nearlandsclosequinton",NA
2011,"Birmingham","Newstr.",NA
2011,"Birmingham","Northfieldhighstr.",NA
2011,"Birmingham","Osbehanshighfieldroadbillesley",NA
2011,"Birmingham","Osthejunctionmosleyvillage",NA
2011,"Birmingham","Oswashwoodheathroad",NA
2011,"Birmingham","Oakhillroadacocksgreen",NA
2011,"Birmingham","Oppwhitehartlanecookslane",NA
2011,"Birmingham","Oppositealdistratfordroad",NA
2011,"Birmingham","Outsidejavaloungealcesterroad",NA
2011,"Birmingham","Outsideo2academynightclubbhamcitycentre",NA
2011,"Birmingham","Outsideravenpublichouse",NA
2011,"Birmingham","Packingtonave.shardend",NA
2011,"Birmingham","Parkoffhobmoorroad",NA
2011,"Birmingham","Parkhallcroft",NA
2011,"Birmingham","Peartreeph",NA
2011,"Birmingham","Policestation",NA
2011,"Birmingham","Policestationstechford",NA
2011,"Birmingham","Poplarroad",NA
2011,"Birmingham","Poplarroad",NA
2011,"Birmingham","Poplarroadsolihull",NA
2011,"Birmingham","Poplarroadsolihull",NA
2011,"Birmingham","Prestonroad",NA
2011,"Birmingham","Prioryroadhallgreen",NA
2011,"Birmingham","Prospectroad",NA
2011,"Birmingham","Queenswoodroad",NA
2011,"Birmingham","Rearofbootshighstr.",NA
2011,"Birmingham","Reddingslanetsyley",NA
2011,"Birmingham","Richmondprimarycarecentrerichmondroadstechford",NA
2011,"Birmingham","Ringroadstourbridge",NA
2011,"Birmingham","Sainsburyswawrickroad",NA
2011,"Birmingham","Sainsburysalcesterroadsouth",NA
2011,"Birmingham","Sandfordroadmoseley",NA
2011,"Birmingham","Sareholemill",NA
2011,"Birmingham","Sedgemereroad",NA
2011,"Birmingham","Shirleyroad",NA
2011,"Birmingham","Shirleyroad",NA
2011,"Birmingham","Snowhill",NA
2011,"Birmingham","Solihulllane",NA
2011,"Birmingham","Stmarysroadmoseley",NA
2011,"Birmingham","Stmarysrow",NA
2011,"Birmingham","Stationroad",NA
2011,"Birmingham","Stationwaybirminghaminternationalrailstation",NA
2011,"Birmingham","Stechfordfrontoffice",NA
2011,"Birmingham","Stechfordps",NA
2011,"Birmingham","Stechfordretailpark",NA
2011,"Birmingham","Stonehengecroftdruidsheath",NA
2011,"Birmingham","Stoneylane",NA
2011,"Birmingham","Stoneylane",NA
2011,"Birmingham","Stoneylane",NA
2011,"Birmingham","Stratfordheathsparkhillbirmingham",NA
2011,"Birmingham","Stratfordroad",NA
2011,"Birmingham","Stratfordroad",NA
2011,"Birmingham","Stratfordroad",NA
2011,"Birmingham","Stratfordroadhallgreen",NA
2011,"Birmingham","Stratfordroads",NA
2011,"Birmingham","Stuartroadstechford",NA
2011,"Birmingham","Talbortstr.",NA
2011,"Birmingham","Tauntonroad",NA
2011,"Birmingham","Tavistockroad",NA
2011,"Birmingham","Theave.",NA
2011,"Birmingham","Thepaertreepub",NA
2011,"Birmingham","Trafalgerroad",NA
2011,"Birmingham","Wakegreenroad",NA
2011,"Birmingham","Wardendroad",NA
2011,"Birmingham","Warwickroad",NA
2011,"Birmingham","Warwickroad",NA
2011,"Birmingham","Warwickroad",NA
2011,"Birmingham","Warwickroad",NA
2011,"Birmingham","Warwickroad",NA
2011,"Birmingham","Warwickroadtysley",NA
2011,"Birmingham","Washlane",NA
2011,"Birmingham","Washfordheathroad",NA
2011,"Birmingham","Washwoodheathpub",NA
2011,"Birmingham","Washwoodheathrdwashwoodheathbham",NA
2011,"Birmingham","Washwoodheathroad",NA
2011,"Birmingham","Washwoodheathroad",NA
2011,"Birmingham","Washwoodheathroad",NA
2011,"Birmingham","Washwoodheathroad",NA
2011,"Birmingham","Waterylanemiddlewaybirmingham",NA
2011,"Birmingham","Wawrickroad",NA
2011,"Birmingham","Welshfarmroadquinton",NA
2011,"Birmingham","Westleyroad",NA
2011,"Birmingham","Westleyroadacocksgreen",NA
2011,"Birmingham","Whitehartpublichouse",NA
2011,"Birmingham","Whitehartpublichouse",NA
2011,"Birmingham","Whiteheartpubgresselllane",NA
2011,"Birmingham","Williamhillbookmakerswashwoodheathroad",NA
2011,"Birmingham","Williamhillbookmakerswashwoodheathroad",NA
2011,"Birmingham","Williamhillwashwoodheathroad",NA
2011,"Birmingham","Windwardroad",NA
2011,"Birmingham","Windwardroad",NA
2011,"Birmingham","Woodendroaderdington",NA
2011,"Birmingham","Woodbridgeroadmoseley",NA
2011,"Birmingham","Wrightstr.",NA
2011,"Birmingham","Yardleygreenroad",NA
2011,"Birmingham","Yardleyroadacocksgreen",NA
2011,"Birmingham","Yardleywoodroad",NA
2011,"Birmingham","Yardleywoodroad",NA
2011,"Birmingham","Yewtreecarpark",NA
2011,"Birmingham","Yewtreelane",NA
2011,"Birmingham","Yewtreepublichousecarpark",NA
2011,"Birmingham","Armadapubsladeroaderdingtonbirmingham",NA
2011,"Birmingham","Armardapubgravellyhill",NA
2011,"Birmingham","Armardapubgravellyhill",NA
2011,"Birmingham","Badgersbankroad",NA
2011,"Birmingham","Baldmoorlakeroaderdingtonbirmingham",NA
2011,"Birmingham","Bandywoodrdkingstanding",NA
2011,"Birmingham","Beckenhamroad",NA
2011,"Birmingham","Beecheswalk",NA
2011,"Birmingham","Birminghamrd",NA
2011,"Birmingham","Birminghamrd",NA
2011,"Birmingham","Birminghamrdsc",NA
2011,"Birmingham","Birminghamroad",NA
2011,"Birmingham","Birminghamroad",NA
2011,"Birmingham","Birminghamroadsutton",NA
2011,"Birmingham","Birminghamroaderdington",NA
2011,"Birmingham","Birminghamroadsuttoncoldfield",NA
2011,"Birmingham","Birminghamroadsuttoncoldfield",NA
2011,"Birmingham","Bowlinggreenclose",NA
2011,"Birmingham","Bracebridgeroaderdington",NA
2011,"Birmingham","Brassingtonave.",NA
2011,"Birmingham","Bromfordlane",NA
2011,"Birmingham","Bromfordlaneerdingtonbham",NA
2011,"Birmingham","Brookvaleparkroad",NA
2011,"Birmingham","Carhamptonroadfalconlodgesuttoncolfield",NA
2011,"Birmingham","Carshaltonroad",NA
2011,"Birmingham","Carshorltonroad",NA
2011,"Birmingham","Chesterrd",NA
2011,"Birmingham","Chesterroad",NA
2011,"Birmingham","Chesterroadhallsgardencentre",NA
2011,"Birmingham","Churchrdatchesterrd",NA
2011,"Birmingham","Collegeroadkingstandingbham",NA
2011,"Birmingham","Collegeroadkingstandingbham",NA
2011,"Birmingham","Copshillcourtmountviewsuttoncoldfield",NA
2011,"Birmingham","Dovedaleroaderdingtonbham",NA
2011,"Birmingham","Downsideroaderdingtonbham",NA
2011,"Birmingham","Eachelhurtroaderdington",NA
2011,"Birmingham","Erdingtonhallroad",NA
2011,"Birmingham","Erdingtonhallroad",NA
2011,"Birmingham","Erdingtonhighstr.",NA
2011,"Birmingham","Fenthamroaderdingtonbham",NA
2011,"Birmingham","Finchleyroad",NA
2011,"Birmingham","Finchleyroadkingstandingbham",NA
2011,"Birmingham","Georgefrederickroad",NA
2011,"Birmingham","Goldenpondtakeawayboldmereroad",NA
2011,"Birmingham","Goodhopehospital",NA
2011,"Birmingham","Gracechurchcentre",NA
2011,"Birmingham","Gracechurchcentreoutsidesupercigs",NA
2011,"Birmingham","Gracechurchshoppingcentresuttoncoldfield",NA
2011,"Birmingham","Grassedareapypehayespark",NA
2011,"Birmingham","Gravelleylane",NA
2011,"Birmingham","Gravelleylane",NA
2011,"Birmingham","Gravelleylane",NA
2011,"Birmingham","Gravellylaneerdingtonbirmingham",NA
2011,"Birmingham","Hairylemonpubsuttoncoldfield",NA
2011,"Birmingham","Hairylemonpubsuttoncoldfield",NA
2011,"Birmingham","Hermatigeroad",NA
2011,"Birmingham","Hermatigeroad",NA
2011,"Birmingham","Hermitagedrive",NA
2011,"Birmingham","Highstr.",NA
2011,"Birmingham","Highstr.erdington",NA
2011,"Birmingham","Highstr.erdington",NA
2011,"Birmingham","Highstr.erdington",NA
2011,"Birmingham","Highstr.sc",NA
2011,"Birmingham","Highstr.sc",NA
2011,"Birmingham","Hightsterdington",NA
2011,"Birmingham","Huntonhill",NA
2011,"Birmingham","Kfcretailoutleterdingtonhighstr.",NA
2011,"Birmingham","Kingsburyroaderdingtonbham",NA
2011,"Birmingham","Kingstandingcircle",NA
2011,"Birmingham","Ladywellwalkbirmingham",NA
2011,"Birmingham","Landsdownroad",NA
2011,"Birmingham","Lichfieldroadmeregreen",NA
2011,"Birmingham","Lichfieldroadsuttoncoldfield",NA
2011,"Birmingham","Lindridgeroadsuttoncoldfield",NA
2011,"Birmingham","Littleastonlane",NA
2011,"Birmingham","Longfordroad",NA
2011,"Birmingham","Longfordroadkingstandingbham",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparadesc",NA
2011,"Birmingham","Lowerparadesutton",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparade",NA
2011,"Birmingham","Lowerparadesutoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfieldtowncentre",NA
2011,"Birmingham","Lowerparadesuttoncoldfieldtowncentre",NA
2011,"Birmingham","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lydhamclose",NA
2011,"Birmingham","Millstr.",NA
2011,"Birmingham","Millstr.suttoncoldfield",NA
2011,"Birmingham","Moorhallhotel",NA
2011,"Birmingham","Mulberrycourtcarparkkingsroadkingstandingbirmingham",NA
2011,"Birmingham","Newhallwalkcarpark",NA
2011,"Birmingham","Newhallwalkcarpark",NA
2011,"Birmingham","Osha",NA
2011,"Birmingham","Oslittentree",NA
2011,"Birmingham","Oslittentreesctowncentre",NA
2011,"Birmingham","Osmoomoobarsctowncentre",NA
2011,"Birmingham","Osmoomoobarsouthparade",NA
2011,"Birmingham","Osretro",NA
2011,"Birmingham","Osretrosouthparade",NA
2011,"Birmingham","Osretros",NA
2011,"Birmingham","Osroyalhotellichfieldroad",NA
2011,"Birmingham","Ostemplebar",NA
2011,"Birmingham","Ostemplebar",NA
2011,"Birmingham","Ostemplebarhighstr.",NA
2011,"Birmingham","Ostemplebarlowerparadesuttoncoldfield",NA
2011,"Birmingham","Ostemplebarsctowncentre",NA
2011,"Birmingham","Ostemplebarsuttoncoldfieldwestmilands",NA
2011,"Birmingham","Osthehairylemon",NA
2011,"Birmingham","Onpavementoutsidetheroyalhotel",NA
2011,"Birmingham","Ourtsideroyalpublichfieldroadsuttoncoldfield",NA
2011,"Birmingham","Outsideglendaletowerlyndhurstestate",NA
2011,"Birmingham","Outsidelittentreepubbirminghamroadsuttoncoldfield",NA
2011,"Birmingham","Outsidemoomooclubtowncentresuttoncoldfield",NA
2011,"Birmingham","Outsidemoomoonightclubsouthparade",NA
2011,"Birmingham","Outsidetempleparadelowerparade",NA
2011,"Birmingham","Outsidethetemplebarlowerparadesc",NA
2011,"Birmingham","Paradesuttoncoldfield",NA
2011,"Birmingham","Paradesc",NA
2011,"Birmingham","Paradesuttoncoldfield",NA
2011,"Birmingham","Paradesuttoncoldfield",NA
2011,"Birmingham","Paradesuttoncoldfield",NA
2011,"Birmingham","Paradesuttontown",NA
2011,"Birmingham","Paradesuttoncoldfield",NA
2011,"Birmingham","Paradesuttoncoldfield",NA
2011,"Birmingham","Paradesuttontowncentre",NA
2011,"Birmingham","Parkestoncrescentkinsgatndingbham",NA
2011,"Birmingham","Plantsgroveerdington",NA
2011,"Birmingham","Pypehayesroadpypehayesbham",NA
2011,"Birmingham","Pypehayesroadpypehayesbham",NA
2011,"Birmingham","Pypehayesroadpypehayesbham",NA
2011,"Birmingham","Queenstr.",NA
2011,"Birmingham","Queenstr.",NA
2011,"Birmingham","Queenstr.",NA
2011,"Birmingham","Queenstr.",NA
2011,"Birmingham","Queenstr.suttoncoldfieldtowncentre",NA
2011,"Birmingham","Queslettroadeast",NA
2011,"Birmingham","Redacrerdboldmere",NA
2011,"Birmingham","Reservoirroad",NA
2011,"Birmingham","Ridgeway",NA
2011,"Birmingham","Sladeroaderdingtonbham",NA
2011,"Birmingham","Sladeroaderdingtonbham",NA
2011,"Birmingham","Sothparadesuttoncoldfield",NA
2011,"Birmingham","Sothparadesuttoncoldfield",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparade",NA
2011,"Birmingham","Southparadetowncentresuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttontowncentre",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttoncoldfield",NA
2011,"Birmingham","Southparadesuttontowncentre",NA
2011,"Birmingham","Southparadetowncentresuttoncoldfield",NA
2011,"Birmingham","Stornawayroadcastlevale",NA
2011,"Birmingham","Str.leyroaderdington",NA
2011,"Birmingham","Sumburghcroft",NA
2011,"Birmingham","Suttoncoldfieldtowncentre",NA
2011,"Birmingham","Suttoncoldfieldtowncentre",NA
2011,"Birmingham","Suttonnewroad",NA
2011,"Birmingham","Suttonnewroaderdington",NA
2011,"Birmingham","Suttonnewroaderdington",NA
2011,"Birmingham","Suttonnewroaderdington",NA
2011,"Birmingham","Suttonnewroaderdingtonbham",NA
2011,"Birmingham","Suttonparade",NA
2011,"Birmingham","Suttonparade",NA
2011,"Birmingham","Suttonparade",NA
2011,"Birmingham","Suttontowncentre",NA
2011,"Birmingham","Suttontowncentre",NA
2011,"Birmingham","Suttontowncentre",NA
2011,"Birmingham","Suttontowncentre",NA
2011,"Birmingham","Suttontowncentre",NA
2011,"Birmingham","Tedburycrescent",NA
2011,"Birmingham","Tescosexpresswalsallroadfouroakssuttoncoldfield",NA
2011,"Birmingham","Theparade",NA
2011,"Birmingham","Theparade",NA
2011,"Birmingham","Theparade",NA
2011,"Birmingham","Theparadesutton",NA
2011,"Birmingham","Theparadesuttoncoldfield",NA
2011,"Birmingham","Theparadebirminghamroadsuttoncoldfield",NA
2011,"Birmingham","Theparadesuttoncoldfield",NA
2011,"Birmingham","Theparadesuttoncoldfield",NA
2011,"Birmingham","Theparadesuttoncoldfield",NA
2011,"Birmingham","Theparadesuttoncoldfield",NA
2011,"Birmingham","Theparadesuttoncoldfield",NA
2011,"Birmingham","Theparadesuttoncoldfield",NA
2011,"Birmingham","Theparadesuttontowncentre",NA
2011,"Birmingham","Theparade",NA
2011,"Birmingham","Theridgeway",NA
2011,"Birmingham","Theridgeway",NA
2011,"Birmingham","Theridgeway",NA
2011,"Birmingham","Theswanph",NA
2011,"Birmingham","Turnhouseroad",NA
2011,"Birmingham","Upperhollandroad",NA
2011,"Birmingham","Victoriard",NA
2011,"Birmingham","Victoriard",NA
2011,"Birmingham","Victoriard",NA
2011,"Birmingham","Walshdrivewalmleysuttoncoldfield",NA
2011,"Birmingham","Warrenfarmrd",NA
2011,"Birmingham","Warrenfarmroad",NA
2011,"Birmingham","Whitehousecommonrd",NA
2011,"Birmingham","Wiltonrd",NA
2011,"Birmingham","Windsorhousejarvisroaderdington",NA
2011,"Birmingham","Wittonlodgeroad",NA
2011,"Birmingham","Wittonlodgeroaderdington",NA
2011,"Birmingham","Yorkroad",NA
2011,"Birmingham","Abdonave",NA
2011,"Birmingham","Alcesterroadsouth",NA
2011,"Birmingham","Alvechurchrd",NA
2011,"Birmingham","Ardenroad",NA
2011,"Birmingham","Ardencotefroad",NA
2011,"Birmingham","Ashleyclose",NA
2011,"Birmingham","Baltispicebristolrdsouth",NA
2011,"Birmingham","Barneshill",NA
2011,"Birmingham","Barrowhouse",NA
2011,"Birmingham","Bellstr.",NA
2011,"Birmingham","Birminghamnewstr.",NA
2011,"Birmingham","Birminghamnewstr.",NA
2011,"Birmingham","Birminghamnewstr.",NA
2011,"Birmingham","Birminghamstr.oldbury",NA
2011,"Birmingham","Blandfordroad",NA
2011,"Birmingham","Bournbrookroad",NA
2011,"Birmingham","Bournvillefrontoffice",NA
2011,"Birmingham","Bournvillefrontoffice",NA
2011,"Birmingham","Bournvillelane",NA
2011,"Birmingham","Bournvillelane",NA
2011,"Birmingham","Bournvillelanefrontoffice",NA
2011,"Birmingham","Bowlinggreenroad",NA
2011,"Birmingham","Bristolrd",NA
2011,"Birmingham","Bristolrd",NA
2011,"Birmingham","Bristolrd",NA
2011,"Birmingham","Bristolrd",NA
2011,"Birmingham","Bristolrdsellyoak",NA
2011,"Birmingham","Bristolrdsouth",NA
2011,"Birmingham","Bristolrdsouth",NA
2011,"Birmingham","Bristolrdsth",NA
2011,"Birmingham","Bristolrdnorthfield",NA
2011,"Birmingham","Bristolrdsellyoak",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolroadnorthfield",NA
2011,"Birmingham","Bristolroadsellyoak",NA
2011,"Birmingham","Bristolroadsellyoak",NA
2011,"Birmingham","Bristolroadsellyoak",NA
2011,"Birmingham","Bristolroadsouthnorthfield",NA
2011,"Birmingham","Bristolroadsouthsellyoak",NA
2011,"Birmingham","Bristolroadsellyoak",NA
2011,"Birmingham","Bristolroadsellyoak",NA
2011,"Birmingham","Bristolroadsellyoak",NA
2011,"Birmingham","Broadstr.",NA
2011,"Birmingham","Broadstr.",NA
2011,"Birmingham","Broadstr.",NA
2011,"Birmingham","Broadstr.citycentre",NA
2011,"Birmingham","Broadstr.citycentre",NA
2011,"Birmingham","Brooklane",NA
2011,"Birmingham","Bunburryroad",NA
2011,"Birmingham","Bunburryroad",NA
2011,"Birmingham","Burnhillgroveweoleycastlebirmingham",NA
2011,"Birmingham","Carparkofbournvillelanepstn",NA
2011,"Birmingham","Chinbrookroadbillsley",NA
2011,"Birmingham","Churchhillnortthfield",NA
2011,"Birmingham","Churchroad",NA
2011,"Birmingham","Comptonroadcradleyheath",NA
2011,"Birmingham","Costcuttersardernroad",NA
2011,"Birmingham","Dawberryroad",NA
2011,"Birmingham","Dawlishroad",NA
2011,"Birmingham","Dingleclub",NA
2011,"Birmingham","Doddingtonroad",NA
2011,"Birmingham","Dogkennellane",NA
2011,"Birmingham","Dogpoollane",NA
2011,"Birmingham","Downfielddrive",NA
2011,"Birmingham","Dudleybusstation",NA
2011,"Birmingham","Dwellingslane",NA
2011,"Birmingham","Eafo",NA
2011,"Birmingham","Edgbastoncricketground",NA
2011,"Birmingham","Edgbastonparkroad",NA
2011,"Birmingham","Exeterrdhubertrd",NA
2011,"Birmingham","Fordhouselane",NA
2011,"Birmingham","Fouracresquinton",NA
2011,"Birmingham","Frogmillroadfrankley",NA
2011,"Birmingham","Gennerslane",NA
2011,"Birmingham","Glastonburyroad",NA
2011,"Birmingham","Greatparkrubery",NA
2011,"Birmingham","Griffinsbrooklane",NA
