"Year","Area","Street","Street 2","Strange HTML"
2011,"Birmingham","COVENTRY̴RD,̴SMALL̴HEATH,̴BHAM","COVENTRY RD, SMALL HEATH, BHAM",NA
2011,"Birmingham","Coventry̴Road","Coventry Road",NA
2011,"Birmingham","Coventry̴Road","Coventry Road",NA
2011,"Birmingham","Coventry̴Road","Coventry Road",NA
2011,"Birmingham","Coventry̴Road","Coventry Road",NA
2011,"Birmingham","Coventry̴Road","Coventry Road",NA
2011,"Birmingham","Coventry̴road,̴Small̴heath","Coventry road, Small heath",NA
2011,"Birmingham","Coventry̴Road,̴Small̴Heath","Coventry Road, Small Heath",NA
2011,"Birmingham","coventry̴road,small̴heath","coventry road,small heath",NA
2011,"Birmingham","Cranes̴Park̴Road","Cranes Park Road",NA
2011,"Birmingham","Cranes̴Park̴Road̴Sheldon","Cranes Park Road Sheldon",NA
2011,"Birmingham","crossfield̴road","crossfield road",NA
2011,"Birmingham","Crossfields̴Road̴Kitts̴Green","Crossfields Road Kitts Green",NA
2011,"Birmingham","cxhurch̴rd,̴stechford,̴bham","cxhurch rd, stechford, bham",NA
2011,"Birmingham","digbeth̴high̴street","digbeth high street",NA
2011,"Birmingham","Edgbaston̴road","Edgbaston road",NA
2011,"Birmingham","Edward̴Road.̴Moseley","Edward Road. Moseley",NA
2011,"Birmingham","Fighting̴Cox̴PH","Fighting Cox PH",NA
2011,"Birmingham","Foremans̴road,̴sparkhill","Foremans road, sparkhill",NA
2011,"Birmingham","front̴office,̴kings̴heath","front office, kings heath",NA
2011,"Birmingham","Garretts̴Green̴Road,̴Garretts̴Green","Garretts Green Road, Garretts Green",NA
2011,"Birmingham","Giles̴Close","Giles Close",NA
2011,"Birmingham","GILES̴CLOSE,̴STECHFORD","GILES CLOSE, STECHFORD",NA
2011,"Birmingham","glazedale̴road","glazedale road",NA
2011,"Birmingham","Gospel̴Farm̴Road","Gospel Farm Road",NA
2011,"Birmingham","Gospel̴Farm̴Road","Gospel Farm Road",NA
2011,"Birmingham","gospel̴lane","gospel lane",NA
2011,"Birmingham","gospel̴lane","gospel lane",NA
2011,"Birmingham","Gospel̴Lane","Gospel Lane",NA
2011,"Birmingham","Gospel̴lane,̴acocks̴green","Gospel lane, acocks green",NA
2011,"Birmingham","Grace̴Church,̴Sutton̴Coldfield","Grace Church, Sutton Coldfield",NA
2011,"Birmingham","Great̴Hampton̴Street","Great Hampton Street",NA
2011,"Birmingham","Green̴Lane","Green Lane",NA
2011,"Birmingham","Greswell̴lane̴Shard̴End","Greswell lane Shard End",NA
2011,"Birmingham","Harlequin̴drive,̴Mosley","Harlequin drive, Mosley",NA
2011,"Birmingham","Haslucks̴Green̴Road","Haslucks Green Road",NA
2011,"Birmingham","Hazeldean̴Road","Hazeldean Road",NA
2011,"Birmingham","Heartlands̴Hospital","Heartlands Hospital",NA
2011,"Birmingham","Heartlands̴Hospital","Heartlands Hospital",NA
2011,"Birmingham","Heartlands̴Hospital̴A̴&̴E.","Heartlands Hospital A & E.",NA
2011,"Birmingham","Heartlands̴Hospital̴A̴&̴E.","Heartlands Hospital A & E.",NA
2011,"Birmingham","heartlands̴hospital̴A̴&̴E.","heartlands hospital A & E.",NA
2011,"Birmingham","Hepben̴Grove","Hepben Grove",NA
2011,"Birmingham","Herrick̴Road","Herrick Road",NA
2011,"Birmingham","Herrick̴Road,̴Washwood̴Heath","Herrick Road, Washwood Heath",NA
2011,"Birmingham","Herrick̴Road,̴Washwood̴Heath","Herrick Road, Washwood Heath",NA
2011,"Birmingham","High̴St̴Solihull","High St Solihull",NA
2011,"Birmingham","HIGH̴STREET̴KINGS̴HEATH","HIGH STREET KINGS HEATH",NA
2011,"Birmingham","High̴Street̴Kings̴Heath","High Street Kings Heath",NA
2011,"Birmingham","high̴street,̴kings̴heath","high street, kings heath",NA
2011,"Birmingham","Hob̴Moor̴Road̴at̴Starbank̴Road","Hob Moor Road at Starbank Road",NA
2011,"Birmingham","Holloway̴head̴Bham̴City̴centre","Holloway head Bham City centre",NA
2011,"Birmingham","Hollywell̴Road","Hollywell Road",NA
2011,"Birmingham","home̴address","home address",NA
2011,"Birmingham","Home̴Address","Home Address",NA
2011,"Birmingham","Homer̴street","Homer street",NA
2011,"Birmingham","Hunters̴Moon̴Public̴house.","Hunters Moon Public house.",NA
2011,"Birmingham","Hurst̴Street","Hurst Street",NA
2011,"Birmingham","Hurst̴Street","Hurst Street",NA
2011,"Birmingham","Hurst̴Street","Hurst Street",NA
2011,"Birmingham","Hurst̴Street,̴Birmingham","Hurst Street, Birmingham",NA
2011,"Birmingham","Kings̴Heath̴High̴Street","Kings Heath High Street",NA
2011,"Birmingham","KNOWLE̴RD,̴SMALL̴HEATH,̴BHAM","KNOWLE RD, SMALL HEATH, BHAM",NA
2011,"Birmingham","ladypool̴Road","ladypool Road",NA
2011,"Birmingham","ladypool̴Road","ladypool Road",NA
2011,"Birmingham","Ladywell̴Walk","Ladywell Walk",NA
2011,"Birmingham","Lea̴Hall̴RD","Lea Hall RD",NA
2011,"Birmingham","Lea̴Hall̴rd","Lea Hall rd",NA
2011,"Birmingham","Lea̴Village,̴Stechford","Lea Village, Stechford",NA
2011,"Birmingham","Lenches̴Close,̴Mosley","Lenches Close, Mosley",NA
2011,"Birmingham","Lime̴Tree̴Road","Lime Tree Road",NA
2011,"Birmingham","Lode̴Lane̴@̴Hermitage̴Road","Lode Lane @ Hermitage Road",NA
2011,"Birmingham","Long̴street","Long street",NA
2011,"Birmingham","Long̴Street.̴Sparkhill","Long Street. Sparkhill",NA
2011,"Birmingham","Longbridge̴Lane","Longbridge Lane",NA
2011,"Birmingham","LONGMEADOW̴CRESCENT̴SHARD̴END̴,̴BHAM","LONGMEADOW CRESCENT SHARD END , BHAM",NA
2011,"Birmingham","Maccadown̴Lane","Maccadown Lane",NA
2011,"Birmingham","masshouse̴lane","masshouse lane",NA
2011,"Birmingham","Meadwaym̴Stechford","Meadwaym Stechford",NA
2011,"Birmingham","Mickleover̴Road,̴Bromford","Mickleover Road, Bromford",NA
2011,"Birmingham","moorcroft̴road","moorcroft road",NA
2011,"Birmingham","Moseley̴Road","Moseley Road",NA
2011,"Birmingham","moseley̴road","moseley road",NA
2011,"Birmingham","moseley̴road","moseley road",NA
2011,"Birmingham","moseley̴road","moseley road",NA
2011,"Birmingham","Moseley̴Village","Moseley Village",NA
2011,"Birmingham","Moseley̴Village","Moseley Village",NA
2011,"Birmingham","Moseley̴Village,̴Alcester̴road","Moseley Village, Alcester road",NA
2011,"Birmingham","Mosley̴All̴Services̴Club,̴Church̴Road,̴Moseley.","Mosley All Services Club, Church Road, Moseley.",NA
2011,"Birmingham","Nearlands̴Close̴Quinton","Nearlands Close Quinton",NA
2011,"Birmingham","new̴street","new street",NA
2011,"Birmingham","Northfield̴High̴Street","Northfield High Street",NA
2011,"Birmingham","O/S̴BEHANS,̴HIGHFIELD̴ROAD,̴BILLESLEY","O/S BEHANS, HIGHFIELD ROAD, BILLESLEY",NA
2011,"Birmingham","O/S̴The̴junction,̴Mosley̴Village","O/S The junction, Mosley Village",NA
2011,"Birmingham","O/S̴Washwood̴Heath̴road","O/S Washwood Heath road",NA
2011,"Birmingham","Oakhill̴Road,̴Acocks̴Green","Oakhill Road, Acocks Green",NA
2011,"Birmingham","Opp̴white̴hart̴lane̴cooks̴lane","Opp white hart lane cooks lane",NA
2011,"Birmingham","Opposite,̴ALDI,̴Stratford̴Road","Opposite, ALDI, Stratford Road",NA
2011,"Birmingham","Outside̴Java̴lounge̴Alcester̴Road","Outside Java lounge Alcester Road",NA
2011,"Birmingham","Outside̴O2̴Academy̴Night̴Club̴B'ham̴City̴Centre","Outside O2 Academy Night Club B'ham City Centre",NA
2011,"Birmingham","outside̴raven̴public̴house","outside raven public house",NA
2011,"Birmingham","Packington̴Avenue,̴Shard̴End","Packington Avenue, Shard End",NA
2011,"Birmingham","park̴off̴hob̴moor̴road","park off hob moor road",NA
2011,"Birmingham","Parkhall̴Croft","Parkhall Croft",NA
2011,"Birmingham","Pear̴Tree̴PH","Pear Tree PH",NA
2011,"Birmingham","Police̴station","Police station",NA
2011,"Birmingham","Police̴Station̴Stechford","Police Station Stechford",NA
2011,"Birmingham","poplar̴road","poplar road",NA
2011,"Birmingham","Poplar̴road","Poplar road",NA
2011,"Birmingham","poplar̴road̴,̴solihull","poplar road , solihull",NA
2011,"Birmingham","poplar̴road,̴solihull","poplar road, solihull",NA
2011,"Birmingham","Preston̴Road","Preston Road",NA
2011,"Birmingham","Priory̴Road,̴Hall̴Green","Priory Road, Hall Green",NA
2011,"Birmingham","prospect̴road","prospect road",NA
2011,"Birmingham","queenswood̴road","queenswood road",NA
2011,"Birmingham","rear̴of̴boots,̴high̴street","rear of boots, high street",NA
2011,"Birmingham","REDDINGS̴LANE,̴TSYLEY","REDDINGS LANE, TSYLEY",NA
2011,"Birmingham","Richmond̴Primary̴Care̴Centre,̴Richmond̴Road,̴Stechford","Richmond Primary Care Centre, Richmond Road, Stechford",NA
2011,"Birmingham","ring̴road,̴stourbridge","ring road, stourbridge",NA
2011,"Birmingham","sainsburys,̴wawrick̴road","sainsburys, wawrick road",NA
2011,"Birmingham","sainsburys.̴alcester̴road̴south","sainsburys. alcester road south",NA
2011,"Birmingham","Sandford̴Road̴Moseley","Sandford Road Moseley",NA
2011,"Birmingham","Sarehole̴Mill","Sarehole Mill",NA
2011,"Birmingham","Sedgemere̴Road","Sedgemere Road",NA
2011,"Birmingham","Shirley̴Road","Shirley Road",NA
2011,"Birmingham","SHirley̴Road","SHirley Road",NA
2011,"Birmingham","Snow̴Hill","Snow Hill",NA
2011,"Birmingham","Solihull̴Lane","Solihull Lane",NA
2011,"Birmingham","St̴Mary's̴Road,̴Moseley","St Mary's Road, Moseley",NA
2011,"Birmingham","St̴Marys̴Row","St Marys Row",NA
2011,"Birmingham","station̴road","station road",NA
2011,"Birmingham","Station̴Way,̴Birmingham̴International̴rail̴Station","Station Way, Birmingham International rail Station",NA
2011,"Birmingham","Stechford̴front̴office","Stechford front office",NA
2011,"Birmingham","Stechford̴P.S.","Stechford P.S.",NA
2011,"Birmingham","Stechford̴Retail̴Park.","Stechford Retail Park.",NA
2011,"Birmingham","Stonehenge̴croft̴Druids̴heath","Stonehenge croft Druids heath",NA
2011,"Birmingham","Stoney̴Lane","Stoney Lane",NA
2011,"Birmingham","Stoney̴Lane","Stoney Lane",NA
2011,"Birmingham","stoney̴lane","stoney lane",NA
2011,"Birmingham","STRATFORD̴HEATH,̴SPARK̴HILL,̴BIRMINGHAM","STRATFORD HEATH, SPARK HILL, BIRMINGHAM",NA
2011,"Birmingham","stratford̴road","stratford road",NA
2011,"Birmingham","Stratford̴road","Stratford road",NA
2011,"Birmingham","Stratford̴Road","Stratford Road",NA
2011,"Birmingham","stratford̴road,̴hall̴green","stratford road, hall green",NA
2011,"Birmingham","stratford̴roads","stratford roads",NA
2011,"Birmingham","Stuart̴Road,̴Stechford","Stuart Road, Stechford",NA
2011,"Birmingham","talbort̴street","talbort street",NA
2011,"Birmingham","Taunton̴Road","Taunton Road",NA
2011,"Birmingham","Tavistock̴road","Tavistock road",NA
2011,"Birmingham","The̴avenue","The avenue",NA
2011,"Birmingham","The̴paer̴tree̴pub","The paer tree pub",NA
2011,"Birmingham","Trafalger̴Road","Trafalger Road",NA
2011,"Birmingham","Wake̴green̴Road","Wake green Road",NA
2011,"Birmingham","Ward̴End̴Road","Ward End Road",NA
2011,"Birmingham","Warwick̴Road","Warwick Road",NA
2011,"Birmingham","Warwick̴Road","Warwick Road",NA
2011,"Birmingham","Warwick̴Road","Warwick Road",NA
2011,"Birmingham","Warwick̴Road","Warwick Road",NA
2011,"Birmingham","Warwick̴Road","Warwick Road",NA
2011,"Birmingham","Warwick̴Road̴Tysley","Warwick Road Tysley",NA
2011,"Birmingham","Wash̴lane","Wash lane",NA
2011,"Birmingham","Washford̴Heath̴Road","Washford Heath Road",NA
2011,"Birmingham","Washwood̴Heath̴pub","Washwood Heath pub",NA
2011,"Birmingham","WASHWOOD̴HEATH̴RD,̴WASHWOOD̴HEATH,̴BHAM","WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM",NA
2011,"Birmingham","Washwood̴Heath̴road","Washwood Heath road",NA
2011,"Birmingham","Washwood̴Heath̴Road","Washwood Heath Road",NA
2011,"Birmingham","Washwood̴Heath̴Road","Washwood Heath Road",NA
2011,"Birmingham","Washwood̴Heath̴Road","Washwood Heath Road",NA
2011,"Birmingham","Watery̴Lane̴Middleway,̴Birmingham","Watery Lane Middleway, Birmingham",NA
2011,"Birmingham","wawrick̴road","wawrick road",NA
2011,"Birmingham","Welshfarm̴Road,̴Quinton","Welshfarm Road, Quinton",NA
2011,"Birmingham","Westley̴Road","Westley Road",NA
2011,"Birmingham","Westley̴Road,̴Acocks̴Green","Westley Road, Acocks Green",NA
2011,"Birmingham","White̴Hart̴Public̴House","White Hart Public House",NA
2011,"Birmingham","White̴Hart̴Public̴House","White Hart Public House",NA
2011,"Birmingham","Whiteheart̴pub,̴Gressell̴Lane","Whiteheart pub, Gressell Lane",NA
2011,"Birmingham","William̴Hill̴Bookmakers,̴Washwood̴Heath̴Road","William Hill Bookmakers, Washwood Heath Road",NA
2011,"Birmingham","William̴Hill̴Bookmakers,̴Washwood̴Heath̴Road","William Hill Bookmakers, Washwood Heath Road",NA
2011,"Birmingham","William̴Hill̴Washwood̴Heath̴Road","William Hill Washwood Heath Road",NA
2011,"Birmingham","Windward̴Road","Windward Road",NA
2011,"Birmingham","Windward̴Road","Windward Road",NA
2011,"Birmingham","Wood̴End̴Road,̴Erdington","Wood End Road, Erdington",NA
2011,"Birmingham","Woodbridge̴road,̴moseley","Woodbridge road, moseley",NA
2011,"Birmingham","Wright̴Street","Wright Street",NA
2011,"Birmingham","yardley̴green̴road","yardley green road",NA
2011,"Birmingham","yardley̴road̴acocks̴green","yardley road acocks green",NA
2011,"Birmingham","Yardley̴Wood̴Road","Yardley Wood Road",NA
2011,"Birmingham","Yardley̴Wood̴Road","Yardley Wood Road",NA
2011,"Birmingham","Yew̴Tree̴car̴park","Yew Tree car park",NA
2011,"Birmingham","Yew̴Tree̴Lane","Yew Tree Lane",NA
2011,"Birmingham","Yew̴Tree̴public̴house̴car̴park.","Yew Tree public house car park.",NA
2011,"Birmingham","Armada̴Pub,̴Slade̴Road,̴Erdington,̴Birmingham","Armada Pub, Slade Road, Erdington, Birmingham",NA
2011,"Birmingham","Armarda̴Pub,̴̴Gravelly̴Hill","Armarda Pub,  Gravelly Hill",NA
2011,"Birmingham","Armarda̴Pub,̴Gravelly̴Hill","Armarda Pub, Gravelly Hill",NA
2011,"Birmingham","BADGERS̴BANK̴ROAD","BADGERS BANK ROAD",NA
2011,"Birmingham","Baldmoor̴Lake̴Road,̴Erdington,̴Birmingham.","Baldmoor Lake Road, Erdington, Birmingham.",NA
2011,"Birmingham","bandywood̴Rd,̴kingstanding","bandywood Rd, kingstanding",NA
2011,"Birmingham","Beckenham̴Road","Beckenham Road",NA
2011,"Birmingham","Beeches̴Walk","Beeches Walk",NA
2011,"Birmingham","BIRMINGHAM̴RD","BIRMINGHAM RD",NA
2011,"Birmingham","BIRMINGHAM̴RD","BIRMINGHAM RD",NA
2011,"Birmingham","Birmingham̴Rd,̴SC","Birmingham Rd, SC",NA
2011,"Birmingham","Birmingham̴Road","Birmingham Road",NA
2011,"Birmingham","Birmingham̴Road","Birmingham Road",NA
2011,"Birmingham","birmingham̴road̴sutton","birmingham road sutton",NA
2011,"Birmingham","Birmingham̴Road,̴Erdington","Birmingham Road, Erdington",NA
2011,"Birmingham","Birmingham̴Road,̴Sutton̴Coldfield","Birmingham Road, Sutton Coldfield",NA
2011,"Birmingham","Birmingham̴Road,̴Sutton̴Coldfield","Birmingham Road, Sutton Coldfield",NA
2011,"Birmingham","BOWLING̴GREEN̴CLOSE","BOWLING GREEN CLOSE",NA
2011,"Birmingham","Bracebridge̴Road,̴Erdington","Bracebridge Road, Erdington",NA
2011,"Birmingham","brassington̴avenue","brassington avenue",NA
2011,"Birmingham","Bromford̴Lane","Bromford Lane",NA
2011,"Birmingham","Bromford̴Lane,̴Erdington,̴B'ham","Bromford Lane, Erdington, B'ham",NA
2011,"Birmingham","Brookvale̴park̴Road","Brookvale park Road",NA
2011,"Birmingham","Carhampton̴Road,̴Falcon̴Lodge,̴Sutton̴Colfield","Carhampton Road, Falcon Lodge, Sutton Colfield",NA
2011,"Birmingham","Carshalton̴Road","Carshalton Road",NA
2011,"Birmingham","carshorlton̴Road","carshorlton Road",NA
2011,"Birmingham","chester̴rd","chester rd",NA
2011,"Birmingham","CHESTER̴ROAD","CHESTER ROAD",NA
2011,"Birmingham","Chester̴Road,̴Halls̴garden̴Centre","Chester Road, Halls garden Centre",NA
2011,"Birmingham","CHURCH̴RD̴AT̴CHESTER̴RD","CHURCH RD AT CHESTER RD",NA
2011,"Birmingham","College̴Road,̴Kingstanding,̴B'ham","College Road, Kingstanding, B'ham",NA
2011,"Birmingham","College̴Road,̴Kingstanding,̴B'ham","College Road, Kingstanding, B'ham",NA
2011,"Birmingham","Copshill̴Court,̴Mount̴View,̴Sutton̴Coldfield","Copshill Court, Mount View, Sutton Coldfield",NA
2011,"Birmingham","Dovedale̴Road,̴Erdington,̴B'ham","Dovedale Road, Erdington, B'ham",NA
2011,"Birmingham","Downside̴Road,̴Erdington,̴B'ham","Downside Road, Erdington, B'ham",NA
2011,"Birmingham","Eachelhurt̴Road,̴Erdington","Eachelhurt Road, Erdington",NA
2011,"Birmingham","ERDINGTON̴HALL̴ROAD","ERDINGTON HALL ROAD",NA
2011,"Birmingham","ERDINGTON̴HALL̴ROAD","ERDINGTON HALL ROAD",NA
2011,"Birmingham","Erdington̴High̴Street","Erdington High Street",NA
2011,"Birmingham","Fentham̴Road,̴Erdington,̴B'ham","Fentham Road, Erdington, B'ham",NA
2011,"Birmingham","FINCHLEY̴ROAD","FINCHLEY ROAD",NA
2011,"Birmingham","Finchley̴Road,̴Kingstanding,̴B'ham","Finchley Road, Kingstanding, B'ham",NA
2011,"Birmingham","GEORGE̴FREDERICK̴ROAD","GEORGE FREDERICK ROAD",NA
2011,"Birmingham","Golden̴Pond̴take̴away̴�����̴Boldmere̴Road","Golden Pond take away ����� Boldmere Road",NA
2011,"Birmingham","good̴hope̴hospital","good hope hospital",NA
2011,"Birmingham","Gracechurch̴Centre","Gracechurch Centre",NA
2011,"Birmingham","Gracechurch̴centre,̴outside̴Supercigs","Gracechurch centre, outside Supercigs",NA
2011,"Birmingham","GraceChurch̴Shopping̴Centre,̴Sutton̴Coldfield","GraceChurch Shopping Centre, Sutton Coldfield",NA
2011,"Birmingham","grassed̴area̴,̴pype̴hayes̴park....","grassed area , pype hayes park....",NA
2011,"Birmingham","Gravelley̴lane","Gravelley lane",NA
2011,"Birmingham","Gravelley̴lane","Gravelley lane",NA
2011,"Birmingham","Gravelley̴lane","Gravelley lane",NA
2011,"Birmingham","Gravelly̴Lane,̴Erdington,̴Birmingham","Gravelly Lane, Erdington, Birmingham",NA
2011,"Birmingham","hairy̴lemon̴pub̴.sutton̴coldfield","hairy lemon pub .sutton coldfield",NA
2011,"Birmingham","hairy̴lemon̴pub̴.sutton̴coldfield","hairy lemon pub .sutton coldfield",NA
2011,"Birmingham","Hermatige̴Road","Hermatige Road",NA
2011,"Birmingham","Hermatige̴Road","Hermatige Road",NA
2011,"Birmingham","HERMITAGE̴DRIVE","HERMITAGE DRIVE",NA
2011,"Birmingham","High̴Street","High Street",NA
2011,"Birmingham","high̴street̴erdington","high street erdington",NA
2011,"Birmingham","high̴street,̴erdington","high street, erdington",NA
2011,"Birmingham","High̴Street,̴Erdington","High Street, Erdington",NA
2011,"Birmingham","High̴Street,̴S/C","High Street, S/C",NA
2011,"Birmingham","High̴Street,̴S/C","High Street, S/C",NA
2011,"Birmingham","Hight̴St̴ErdINGTON","Hight St ErdINGTON",NA
2011,"Birmingham","HUNTON̴HILL","HUNTON HILL",NA
2011,"Birmingham","KFC̴retail̴outlet̴,̴Erdington̴High̴street","KFC retail outlet , Erdington High street",NA
2011,"Birmingham","Kingsbury̴Road,̴Erdington,̴B'ham","Kingsbury Road, Erdington, B'ham",NA
2011,"Birmingham","Kingstanding̴Circle","Kingstanding Circle",NA
2011,"Birmingham","Ladywell̴Walk,̴Birmingham","Ladywell Walk, Birmingham",NA
2011,"Birmingham","Landsdown̴Road","Landsdown Road",NA
2011,"Birmingham","LICHFIELD̴ROAD,̴MERE̴GREEN","LICHFIELD ROAD, MERE GREEN",NA
2011,"Birmingham","LICHFIELD̴ROAD,̴SUTTON̴COLDFIELD","LICHFIELD ROAD, SUTTON COLDFIELD",NA
2011,"Birmingham","Lindridge̴Road,̴Sutton̴Coldfield","Lindridge Road, Sutton Coldfield",NA
2011,"Birmingham","little̴aston̴lane","little aston lane",NA
2011,"Birmingham","LONGFORD̴ROAD","LONGFORD ROAD",NA
2011,"Birmingham","Longford̴Road,̴Kingstanding,̴B'ham","Longford Road, Kingstanding, B'ham",NA
2011,"Birmingham","lower̴parade","lower parade",NA
2011,"Birmingham","LOWER̴PARADE","LOWER PARADE",NA
2011,"Birmingham","lower̴parade","lower parade",NA
2011,"Birmingham","lower̴parade","lower parade",NA
2011,"Birmingham","lower̴parade","lower parade",NA
2011,"Birmingham","lower̴parade","lower parade",NA
2011,"Birmingham","LOWER̴PARADE","LOWER PARADE",NA
2011,"Birmingham","Lower̴Parade","Lower Parade",NA
2011,"Birmingham","Lower̴Parade","Lower Parade",NA
2011,"Birmingham","LOWER̴PARADE","LOWER PARADE",NA
2011,"Birmingham","Lower̴Parade","Lower Parade",NA
2011,"Birmingham","LOWER̴PARADE","LOWER PARADE",NA
2011,"Birmingham","Lower̴Parade","Lower Parade",NA
2011,"Birmingham","LOWER̴PARADE","LOWER PARADE",NA
2011,"Birmingham","LOWER̴PARADE","LOWER PARADE",NA
2011,"Birmingham","Lower̴Parade","Lower Parade",NA
2011,"Birmingham","Lower̴Parade","Lower Parade",NA
2011,"Birmingham","Lower̴Parade","Lower Parade",NA
2011,"Birmingham","LOWER̴PARADE","LOWER PARADE",NA
2011,"Birmingham","lower̴parade̴SC","lower parade SC",NA
2011,"Birmingham","LOWER̴PARADE̴SUTTON","LOWER PARADE SUTTON",NA
2011,"Birmingham","Lower̴Parade̴Sutton̴Coldfield","Lower Parade Sutton Coldfield",NA
2011,"Birmingham","lower̴parade,","lower parade,",NA
2011,"Birmingham","Lower̴parade,̴Suton̴Coldfield","Lower parade, Suton Coldfield",NA
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield",NA
2011,"Birmingham","lower̴parade,̴sutton̴coldfield","lower parade, sutton coldfield",NA
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield",NA
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield",NA
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield",NA
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield",NA
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield",NA
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield",NA
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield",NA
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield",NA
